parameter_name,parameter_value,data_type,description,category,is_sensitive
shift_end_time,17:30:00,string,班次結束時間,workstation,Y
overtime_enabled,Y,string,是否啟用加班功能,workstation,Y
max_overtime_hours,3,float,單日最大加班時數,workstation,Y
overtime_end_time,20:30:00,string,加班最晚結束時間,workstation,Y
receiving_time_per_piece,5,integer,每零件處理時間,,
receiving_time_variance_factor,0.15,float,時間隨機變動（±15%）,,
receiving_completion_days,3,integer,進貨完成期限,,
max_partcustids_per_station,12,integer,每個工作站最大可處理的據點數量,,
max_partcustids_per_station,0,integer,波次完成前緩衝時間,,
station_startup_time_minutes,3,integer,工作站啟動時間(分),workstation,N
time_buffer_minutes,3,integer
